filepath,stationarity_score
texture_54.wav,-0.5353474
texture_55.wav,-0.59516495
texture_56.wav,-0.5649016
texture_57.wav,-0.6159461
texture_58.wav,-0.65284973
texture_59.wav,-0.62465346
texture_60.wav,-0.54793566
texture_61.wav,-0.44591355
texture_62.wav,-0.49944916
texture_63.wav,-0.67517495
texture_64.wav,-0.57502586
texture_65.wav,-0.79909533
texture_66.wav,-0.42173997
texture_67.wav,-0.60996026
texture_68.wav,-0.68961716
texture_69.wav,-0.59415436
texture_70.wav,-0.7350767
texture_71.wav,-0.6068269
texture_72.wav,-0.536828
texture_73.wav,-0.62703794
texture_74.wav,-0.659275
texture_75.wav,-0.29983744
texture_76.wav,-0.6617347
texture_77.wav,-0.4697879
texture_78.wav,-0.6720215
texture_79.wav,-0.60193956
texture_80.wav,-0.6677351
texture_81.wav,-0.6991603
texture_82.wav,-0.69334817
texture_83.wav,-0.6202133
texture_84.wav,-0.6687358
texture_85.wav,-0.7136993
texture_86.wav,-0.60632664
texture_87.wav,-0.6726096
texture_88.wav,-0.5667035
texture_89.wav,-0.6155547
texture_90.wav,-0.6214787
texture_91.wav,-0.6581958
texture_92.wav,-0.68164915
texture_93.wav,-0.70947134
texture_94.wav,-0.7058813
texture_95.wav,-0.61494887
texture_96.wav,-0.65452766
texture_97.wav,-0.5873117
texture_98.wav,-0.6996746
texture_99.wav,-0.6078605
texture_100.wav,-0.655892
texture_101.wav,-0.5723309
texture_102.wav,-0.69620246
texture_103.wav,-0.7260402
texture_104.wav,-0.64562255
texture_105.wav,-0.6505373
texture_106.wav,-0.6439667
texture_107.wav,-0.63456357
texture_108.wav,-0.6482434
texture_109.wav,-0.51095545
texture_110.wav,-0.5693367
texture_111.wav,-0.62425864
texture_112.wav,-0.63870424
texture_113.wav,-0.60222924
texture_114.wav,-0.63622874
texture_115.wav,-0.63959885
texture_116.wav,-0.65979
texture_117.wav,-0.4978694
texture_118.wav,-0.5379608
texture_119.wav,-0.4807628
texture_120.wav,-0.6118992
texture_121.wav,-0.5859343
texture_122.wav,-0.63957256
texture_123.wav,-0.5996624
texture_124.wav,-0.5885278
texture_125.wav,-0.6834586
texture_126.wav,-0.5092493
texture_127.wav,-0.66896755
texture_128.wav,-0.6156568
texture_129.wav,-0.6624521
texture_130.wav,-0.66304445
texture_131.wav,-0.64353704
texture_132.wav,-0.64461184
texture_133.wav,-0.6312794
texture_134.wav,-0.6685273
texture_135.wav,-0.66665643
texture_136.wav,-0.47080526
texture_137.wav,-0.6360791
texture_138.wav,-0.604222
texture_139.wav,-0.6354262
texture_140.wav,-0.6842806
texture_141.wav,-0.6820057
texture_142.wav,-0.6790062
texture_143.wav,-0.62249154
texture_144.wav,-0.36966306
texture_145.wav,-0.63704175
texture_146.wav,-0.6144072
texture_147.wav,-0.5860917
texture_148.wav,-0.6884947
texture_149.wav,-0.6611431
texture_150.wav,-0.6562738
texture_151.wav,-0.62468386
texture_152.wav,-0.6441578
texture_153.wav,-0.6917826
texture_154.wav,-0.5840988
texture_155.wav,-0.56177294
texture_156.wav,-0.6874374
texture_157.wav,-0.60411024
texture_158.wav,-0.6741873
texture_159.wav,-0.6238373
texture_160.wav,-0.61802256
